trainNo,trainStatus
NDLS-LKO SHATABDI EXP,Delayed by 59 Min.25-Feb 13:39
HIMALAYAN QUEEN EXPRESS,No Delay25-Feb 11:10
SHALIMAR EXP,No Delay25-Feb 05:25
NDLS-KLK SHATABDI EXP,No Delay25-Feb 11:45
UTTAR SMPRK KRANTI EXP,No Delay25-Feb 08:40
TATA MURI -HTE - JAT EXP,Delayed by 13:55 Hrs.26-Feb 04:05
NDLS - BPL SHATABDI EXP,No Delay25-Feb 14:25
AG KRANTI RJDHN,Delayed by 5 Min.25-Feb 09:50
MAGADH EXPRESS,Delayed by 03:55 Hrs.25-Feb 18:40
VAISHALI EXP,Delayed by 01:20 Hrs.25-Feb 18:35
ADI SJ RAJDHANI,Delayed by 7 Min.25-Feb 09:47
DLI - JSM EXPRESS,Delayed by 15 Min.25-Feb 12:00
MANDOR EXPRESS,Delayed by 10 Min.26-Feb 08:10
