trainNo,trainStatus
PURI-NDLS PURUSHOTTAM,Delayed by 02:15 Hrs.04-Feb 06:40
PURI-NDLS PURUSHOTTAM,Delayed by 03:20 Hrs.05-Feb 07:45
NDLS-PURI PURSHOTTAM,Delayed by 02:40 Hrs.04-Feb 08:00
NDLS-PURI PURSHOTTAM,No Delay05-Feb 05:00
LKO-NDLS SHATABDI EXP.,No Delay04-Feb 22:15
LKO-NDLS SHATABDI EXP.,Delayed by 10 Min.05-Feb 22:25
SHRAM SHKTI EXP,No Delay04-Feb 06:30
SHRAM SHKTI EXP,No Delay05-Feb 06:35
SHRAM SHKTI EXP,Delayed by 01:19 Hrs.04-Feb 07:49
SHRAM SHKTI EXP,Delayed by 21 Min.05-Feb 06:51
CNB NDLS SHT,Delayed by 15 Min.05-Feb 11:35
CNB NDLS SHT,Delayed by 15 Min.05-Feb 11:35
NDLS CNB SHATABDI,Delayed by 22 Min.05-Feb 21:07
NDLS CNB SHATABDI,Delayed by 22 Min.05-Feb 21:07
NDLS-KLK SHATABDI EXP,Delayed by 5 Min.04-Feb 11:50
NDLS-KLK SHATABDI EXP,Delayed by 50 Min.05-Feb 12:35
NDLS-KLK- SHATABDI EXP,No Delay04-Feb 21:20
NDLS-KLK- SHATABDI EXP,No Delay05-Feb 21:20
NDLS-CDG SHATABDI EXPRESS,No Delay05-Feb 22:33
NDLS-CDG SHATABDI EXPRESS,No Delay05-Feb 22:33
