trainNo,trainStatus
NDLS-LKO SHATABDI EXP,No Delay28-Feb 06:48
HIMALAYAN QUEEN EXPRESS,No Delay28-Feb 06:54
SHALIMAR EXP,No Delay28-Feb 16:42
NDLS-KLK SHATABDI EXP,Delayed by 6 Min.28-Feb 08:56
UTTAR SMPRK KRANTI EXP,No Delay28-Feb 22:30
TATA MURI -HTE - JAT EXP,No Delay28-Feb 15:42
NDLS - BPL SHATABDI EXP,No Delay28-Feb 07:32
AG KRANTI RJDHN,No Delay28-Feb 18:38
MAGADH EXPRESS,Delayed by 11 Min.28-Feb 22:26
VAISHALI EXP,Delayed by 8 Min.28-Feb 20:50
ADI SJ RAJDHANI,No Delay28-Feb 20:28
DLI - JSM EXPRESS,Delayed by 33 Min.28-Feb 18:23
MANDOR EXPRESS,Delayed by 9 Min.28-Feb 21:52
